DATE,TIME,OPEN,HIGH,LOW,CLOSE,CHANGE,GAIN,LOSS,AVG+AF8-GAIN,AVG+AF8-LOSS,RS,RSI+AF8-14
20200102,12:48:00,1495.3,1495.3,1494.175,1494.45,+AC0-0.85,0.00,0.85,0.50,0.31,1.63,62.02
20200102,12:49:00,1494.45,1494.875,1494.175,1494.45,0.00,0.00,0.00,0.47,0.29,1.63,62.02
20200102,12:50:00,1494.45,1494.6,1493.875,1494.25,+AC0-0.20,0.00,0.20,0.43,0.28,1.55,60.77
20200102,12:51:00,1494.25,1494.4,1493.925,1493.975,+AC0-0.28,0.00,0.28,0.40,0.28,1.44,59.02
20200102,12:52:00,1493.975,1494.425,1493.675,1493.8,+AC0-0.17,0.00,0.17,0.37,0.27,1.37,57.87
20200102,12:53:00,1493.8,1494.725,1493.775,1494.5,0.70,0.70,0.00,0.40,0.25,1.57,61.12
20200102,12:54:00,1494.5,1495.4,1494.225,1495.4,0.90,0.90,0.00,0.43,0.23,1.85,64.87
20200102,12:55:00,1495.4,1495.65,1494.65,1495.1,+AC0-0.30,0.00,0.30,0.40,0.24,1.68,62.70
20200102,12:56:00,1495.1,1495.325,1494.55,1494.55,+AC0-0.55,0.00,0.55,0.37,0.26,1.43,58.81
20200102,12:57:00,1494.55,1495.85,1494.55,1495.7,1.15,1.15,0.00,0.43,0.24,1.77,63.86
20200102,12:58:00,1495.7,1495.9,1495.05,1495.3,+AC0-0.40,0.00,0.40,0.40,0.25,1.57,61.06
20200102,12:59:00,1495.3,1495.35,1494.975,1494.975,+AC0-0.33,0.00,0.33,0.37,0.26,1.43,58.80
20200102,13:00:00,1494.975,1495.725,1494.975,1495.3,0.33,0.33,0.00,0.37,0.24,1.52,60.38
